Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2019-20,Liverpool,Norwich,4,1,H
2019-20,West Ham,Manchester City,0,5,A
2019-20,Bournemouth,Sheffield United,1,1,D
2019-20,Burnley,Southampton,3,0,H
2019-20,Crystal Palace,Everton,0,0,D
2019-20,Watford,Brighton,0,3,A
2019-20,Tottenham,Aston Villa,3,1,H
2019-20,Leicester,Wolverhampton Wanderers,0,0,D
2019-20,Newcastle United,Arsenal,0,1,A
2019-20,Manchester United,Chelsea,4,0,H
2019-20,Arsenal,Burnley,2,1,H
2019-20,Aston Villa,Bournemouth,1,2,A
2019-20,Brighton,West Ham,1,1,D
2019-20,Everton,Watford,1,0,H
2019-20,Norwich,Newcastle United,3,1,H
2019-20,Southampton,Liverpool,1,2,A
2019-20,Manchester City,Tottenham,2,2,D
2019-20,Sheffield United,Crystal Palace,1,0,H
2019-20,Chelsea,Leicester,1,1,D
2019-20,Wolverhampton Wanderers,Manchester United,1,1,D
2019-20,Aston Villa,Everton,2,0,H
2019-20,Norwich,Chelsea,2,3,A
2019-20,Brighton,Southampton,0,2,A
2019-20,Manchester United,Crystal Palace,1,2,A
2019-20,Sheffield United,Leicester,1,2,A
2019-20,Watford,West Ham,1,3,A
2019-20,Liverpool,Arsenal,3,1,H
2019-20,Bournemouth,Manchester City,1,3,A
2019-20,Tottenham,Newcastle United,0,1,A
2019-20,Wolverhampton Wanderers,Burnley,1,1,D
2019-20,Southampton,Manchester United,1,1,D
2019-20,Chelsea,Sheffield United,2,2,D
2019-20,Crystal Palace,Aston Villa,1,0,H
2019-20,Leicester,Bournemouth,3,1,H
2019-20,Manchester City,Brighton,4,0,H
2019-20,Newcastle United,Watford,1,1,D
2019-20,West Ham,Norwich,2,0,H
2019-20,Burnley,Liverpool,0,3,A
2019-20,Everton,Wolverhampton Wanderers,3,2,H
2019-20,Arsenal,Tottenham,2,2,D
2019-20,Liverpool,Newcastle United,3,1,H
2019-20,Brighton,Burnley,1,1,D
2019-20,Manchester United,Leicester,1,0,H
2019-20,Sheffield United,Southampton,0,1,A
2019-20,Tottenham,Crystal Palace,4,0,H
2019-20,Wolverhampton Wanderers,Chelsea,2,5,A
2019-20,Norwich,Manchester City,3,2,H
2019-20,Bournemouth,Everton,3,1,H
2019-20,Watford,Arsenal,2,2,D
2019-20,Aston Villa,West Ham,0,0,D
2019-20,Southampton,Bournemouth,1,3,A
2019-20,Leicester,Tottenham,2,1,H
2019-20,Burnley,Norwich,2,0,H
2019-20,Everton,Sheffield United,0,2,A
2019-20,Manchester City,Watford,8,0,H
2019-20,Newcastle United,Brighton,0,0,D
2019-20,Crystal Palace,Wolverhampton Wanderers,1,1,D
2019-20,West Ham,Manchester United,2,0,H
2019-20,Arsenal,Aston Villa,3,2,H
2019-20,Chelsea,Liverpool,1,2,A
2019-20,Sheffield United,Liverpool,0,1,A
2019-20,Aston Villa,Burnley,2,2,D
2019-20,Bournemouth,West Ham,2,2,D
2019-20,Chelsea,Brighton,2,0,H
2019-20,Crystal Palace,Norwich,2,0,H
2019-20,Tottenham,Southampton,2,1,H
2019-20,Wolverhampton Wanderers,Watford,2,0,H
2019-20,Everton,Manchester City,1,3,A
2019-20,Leicester,Newcastle United,5,0,H
2019-20,Manchester United,Arsenal,1,1,D
