Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2015-16,Bournemouth,Aston Villa,0,1,A
2015-16,Chelsea,Swansea,2,2,D
2015-16,Everton,Watford,2,2,D
2015-16,Leicester,Sunderland,4,2,H
2015-16,Manchester United,Tottenham,1,0,H
2015-16,Norwich,Crystal Palace,1,3,A
2015-16,Arsenal,West Ham,0,2,A
2015-16,Newcastle United,Southampton,2,2,D
2015-16,Stoke,Liverpool,0,1,A
2015-16,West Bromwich Albion,Manchester City,0,3,A
2015-16,Aston Villa,Manchester United,0,1,A
2015-16,Southampton,Everton,0,3,A
2015-16,Sunderland,Norwich,1,3,A
2015-16,Swansea,Newcastle United,2,0,H
2015-16,Tottenham,Stoke,2,2,D
2015-16,Watford,West Bromwich Albion,0,0,D
2015-16,West Ham,Leicester,1,2,A
2015-16,Crystal Palace,Arsenal,1,2,A
2015-16,Manchester City,Chelsea,3,0,H
2015-16,Liverpool,Bournemouth,1,0,H
2015-16,Crystal Palace,Aston Villa,2,1,H
2015-16,Leicester,Tottenham,1,1,D
2015-16,Manchester United,Newcastle United,0,0,D
2015-16,Norwich,Stoke,1,1,D
2015-16,Sunderland,Swansea,1,1,D
2015-16,West Ham,Bournemouth,3,4,A
2015-16,Everton,Manchester City,0,2,A
2015-16,Watford,Southampton,0,0,D
2015-16,West Bromwich Albion,Chelsea,2,3,A
2015-16,Arsenal,Liverpool,0,0,D
2015-16,Aston Villa,Sunderland,2,2,D
2015-16,Bournemouth,Leicester,1,1,D
2015-16,Chelsea,Crystal Palace,1,2,A
2015-16,Liverpool,West Ham,0,3,A
2015-16,Manchester City,Watford,2,0,H
2015-16,Newcastle United,Arsenal,0,1,A
2015-16,Stoke,West Bromwich Albion,0,1,A
2015-16,Tottenham,Everton,0,0,D
2015-16,Southampton,Norwich,3,0,H
2015-16,Swansea,Manchester United,2,1,H
2015-16,Arsenal,Stoke,2,0,H
2015-16,Crystal Palace,Manchester City,0,1,A
2015-16,Everton,Chelsea,3,1,H
2015-16,Manchester United,Liverpool,3,1,H
2015-16,Norwich,Bournemouth,3,1,H
2015-16,Watford,Swansea,1,0,H
2015-16,West Bromwich Albion,Southampton,0,0,D
2015-16,Leicester,Aston Villa,3,2,H
2015-16,Sunderland,Tottenham,0,1,A
2015-16,West Ham,Newcastle United,2,0,H
2015-16,Aston Villa,West Bromwich Albion,0,1,A
2015-16,Bournemouth,Sunderland,2,0,H
2015-16,Chelsea,Arsenal,2,0,H
2015-16,Manchester City,West Ham,1,2,A
2015-16,Newcastle United,Watford,1,2,A
2015-16,Stoke,Leicester,2,2,D
2015-16,Swansea,Everton,0,0,D
2015-16,Liverpool,Norwich,1,1,D
2015-16,Southampton,Manchester United,2,3,A
2015-16,Tottenham,Crystal Palace,1,0,H
2015-16,Leicester,Arsenal,2,5,A
2015-16,Liverpool,Aston Villa,3,2,H
2015-16,Manchester United,Sunderland,3,0,H
2015-16,Newcastle United,Chelsea,2,2,D
2015-16,Southampton,Swansea,3,1,H
2015-16,Stoke,Bournemouth,2,1,H
2015-16,Tottenham,Manchester City,4,1,H
2015-16,West Ham,Norwich,2,2,D
2015-16,Watford,Crystal Palace,0,1,A
2015-16,West Bromwich Albion,Everton,2,3,A
2015-16,Aston Villa,Stoke,0,1,A
2015-16,Bournemouth,Watford,1,1,D
2015-16,Chelsea,Southampton,1,3,A
2015-16,Crystal Palace,West Bromwich Albion,2,0,H
2015-16,Manchester City,Newcastle United,6,1,H
2015-16,Norwich,Leicester,1,2,A
2015-16,Sunderland,West Ham,2,2,D
2015-16,Arsenal,Manchester United,3,0,H
2015-16,Everton,Liverpool,1,1,D
2015-16,Swansea,Tottenham,2,2,D
2015-16,Chelsea,Aston Villa,2,0,H
2015-16,Crystal Palace,West Ham,1,3,A
2015-16,Everton,Manchester United,0,3,A
2015-16,Manchester City,Bournemouth,5,1,H
2015-16,Southampton,Leicester,2,2,D
2015-16,Tottenham,Liverpool,0,0,D
2015-16,Watford,Arsenal,0,3,A
2015-16,West Bromwich Albion,Sunderland,1,0,H
2015-16,Newcastle United,Norwich,6,2,H
2015-16,Swansea,Stoke,0,1,A
2015-16,Arsenal,Everton,2,1,H
2015-16,Aston Villa,Swansea,1,2,A
2015-16,Leicester,Crystal Palace,1,0,H
2015-16,Norwich,West Bromwich Albion,0,1,A
2015-16,Stoke,Watford,0,2,A
2015-16,West Ham,Chelsea,2,1,H
2015-16,Bournemouth,Tottenham,1,5,A
2015-16,Liverpool,Southampton,1,1,D
2015-16,Manchester United,Manchester City,0,0,D
