Season,Team
2015-16,Arsenal
2015-16,Aston Villa
2015-16,Bournemouth
2015-16,Chelsea
2015-16,Crystal Palace
2015-16,Everton
2015-16,Leicester
2015-16,Liverpool
2015-16,Manchester City
2015-16,Manchester United
2015-16,Newcastle United
2015-16,Norwich
2015-16,Southampton
2015-16,Stoke
2015-16,Sunderland
2015-16,Swansea
2015-16,Tottenham
2015-16,Watford
2015-16,West Bromwich Albion
2015-16,West Ham
2016-17,Arsenal
2016-17,Bournemouth
2016-17,Burnley
2016-17,Chelsea
2016-17,Crystal Palace
2016-17,Everton
2016-17,Hull
2016-17,Leicester
2016-17,Liverpool
2016-17,Manchester City
2016-17,Manchester United
2016-17,Middlesbrough
2016-17,Southampton
2016-17,Stoke
2016-17,Sunderland
2016-17,Swansea
2016-17,Tottenham
2016-17,Watford
2016-17,West Bromwich Albion
2016-17,West Ham
2017-18,Arsenal
2017-18,Bournemouth
2017-18,Brighton
2017-18,Burnley
2017-18,Chelsea
2017-18,Crystal Palace
2017-18,Everton
2017-18,Huddersfield
2017-18,Leicester
2017-18,Liverpool
2017-18,Manchester City
2017-18,Manchester United
2017-18,Newcastle United
2017-18,Southampton
2017-18,Stoke
2017-18,Swansea
2017-18,Tottenham
2017-18,Watford
2017-18,West Bromwich Albion
2017-18,West Ham
2018-19,Arsenal
2018-19,Bournemouth
2018-19,Brighton
2018-19,Burnley
2018-19,Cardiff
2018-19,Chelsea
2018-19,Crystal Palace
2018-19,Everton
2018-19,Fulham
2018-19,Huddersfield
2018-19,Leicester
2018-19,Liverpool
2018-19,Manchester City
2018-19,Manchester United
2018-19,Newcastle United
2018-19,Southampton
2018-19,Tottenham
2018-19,Watford
2018-19,West Ham
2018-19,Wolverhampton Wanderers
2019-20,Arsenal
2019-20,Aston Villa
2019-20,Bournemouth
2019-20,Brighton
2019-20,Burnley
2019-20,Chelsea
2019-20,Crystal Palace
2019-20,Everton
2019-20,Leicester
2019-20,Liverpool
2019-20,Manchester City
2019-20,Manchester United
2019-20,Newcastle United
2019-20,Norwich
2019-20,Sheffield United
2019-20,Southampton
2019-20,Tottenham
2019-20,Watford
2019-20,West Ham
2019-20,Wolverhampton Wanderers
